GEOID,Centroid_X,Centroid_Y,minx,miny,maxx,maxy,MEDIAN_INCOME
15000US420031702004,-79.9793258541,40.4269824388,-79.9825920004,40.4251259998,-79.976265,40.4288349999,82872.0
15000US420032904004,-79.976417796,40.390981162,-79.9800449999,40.3847919996,-79.9730350004,40.39697,33750.0
15000US420035624005,-79.9991617426,40.4197360347,-80.0024859996,40.4174130002,-79.997249,40.4217749999,10741.0
15000US420030103003,-79.9837604955,40.436893072,-79.9867830003,40.4349820001,-79.9795420001,40.438607,42740.0
15000US420039801001,-79.9145095258,40.4812108237,-79.9275730002,40.46741,-79.9053539999,40.4882369999,
15000US420030901002,-79.9639560266,40.4744924486,-79.968639,40.4698219997,-79.9602049996,40.4797659996,41042.0
15000US420033001006,-79.993936809,40.4088503549,-79.9968289996,40.4071720001,-79.9907620004,40.4101810004,40208.0
15000US420035616002,-79.9632742825,40.4138162347,-79.972033,40.4078869998,-79.9550979997,40.4212570003,34926.0
15000US420035617001,-79.9722162967,40.4088025675,-79.9784770004,40.4039200003,-79.9644399997,40.4141499999,41250.0
15000US420035617002,-79.979374251,40.4108740328,-79.9817949996,40.4062560001,-79.976985,40.4142399996,39716.0
15000US420035616003,-79.9788445208,40.4161359709,-79.9822590004,40.4141109999,-79.9745199996,40.4179570001,45000.0
15000US420035623001,-79.9398352862,40.4022511899,-79.9433579997,40.399448,-79.9357559998,40.4051060001,38426.0
15000US420031517005,-79.9316081134,40.4213387534,-79.9339819999,40.418891,-79.9291350003,40.4242109998,48262.0
15000US420035631001,-80.0441065135,40.4338079703,-80.0509440004,40.4280440003,-80.0358359997,40.4382980002,68125.0
15000US420035630003,-80.0721844074,40.4521612073,-80.0802239998,40.4472330003,-80.0618689997,40.4563750001,52500.0
15000US420033001005,-79.9931743317,40.4109356368,-79.9969469996,40.4095079999,-79.9896080002,40.4121850001,49886.0
15000US420035624004,-80.0050307867,40.4187711907,-80.0104669999,40.4160559997,-80.0004049999,40.4210380001,26330.0
15000US420035624003,-80.0015437196,40.4166386753,-80.0059009997,40.4157990004,-79.9971859998,40.4175100002,52560.0
15000US420035631002,-80.0530374787,40.4320100764,-80.0591540004,40.425735,-80.0465920002,40.4379559997,45833.0
15000US420039808001,-79.9654390636,40.4325733364,-79.9735020003,40.4286349997,-79.9562719999,40.4363219999,
15000US420035626003,-80.0367936715,40.4482520345,-80.0450779996,40.4426199998,-80.0270900002,40.4540489999,33241.0
15000US420031915002,-80.0088701101,40.423132385,-80.01359,40.4185329997,-80.0049550002,40.4271650003,36313.0
15000US420031914002,-80.0142052648,40.4260261745,-80.0214839998,40.4219649997,-80.0086810002,40.4308949996,43750.0
15000US420039809001,-80.0419483669,40.4665932269,-80.0511780004,40.4526960004,-80.0307760002,40.4789299997,
15000US420035625002,-80.0477534138,40.4561318803,-80.0551639998,40.4521589999,-80.0411399997,40.4613989998,27147.0
15000US420031911001,-80.0231178181,40.4314480077,-80.0285809997,40.4252330002,-80.0179749998,40.4368730001,69375.0
15000US420032509001,-80.004773475,40.4608170627,-80.0088350001,40.4585479996,-79.9997300002,40.4641289998,11810.0
15000US420032614004,-80.006434502,40.4683486231,-80.0102139999,40.4650150001,-80.0022090003,40.472209,27368.0
15000US420035625003,-80.0490092334,40.4534393237,-80.0545789998,40.4501530001,-80.039898,40.4583139996,20625.0
15000US420035630004,-80.0705755764,40.4578183041,-80.0758870004,40.4532760002,-80.0669009997,40.462672,39375.0
15000US420035626004,-80.0364073666,40.4440663501,-80.0406299996,40.4411969998,-80.0315289999,40.4474620001,23750.0
15000US420035628001,-80.074595969,40.4202303469,-80.0857090001,40.4133990004,-80.0660910001,40.4260389996,54671.0
15000US420035625004,-80.0582932293,40.4580574943,-80.0689859996,40.4532849997,-80.0511999996,40.461873,43036.0
15000US420039804001,-80.0200164179,40.4819378905,-80.0272969999,40.4761950004,-80.0117509997,40.4913689996,
15000US420031414005,-79.9245784112,40.4275500078,-79.9279090004,40.425326,-79.9211990003,40.4297380002,36635.0
15000US420032614001,-80.0168973021,40.4653223311,-80.0207059999,40.4615119996,-80.0126610003,40.4691969996,33147.0
15000US420035628002,-80.0658035041,40.4269245726,-80.073207,40.4206090001,-80.0537730004,40.4313580003,33750.0
15000US420035632002,-79.9979370369,40.4535115591,-80.0021939997,40.450367,-79.9922810003,40.4558090001,23409.0
15000US420031306001,-79.8817225399,40.4521924773,-79.8859439996,40.4489179998,-79.8771279996,40.4554859996,13482.0
15000US420035623003,-79.9314310479,40.4125804992,-79.9401740003,40.4021679996,-79.9225939999,40.4198350004,24479.0
15000US420031018002,-79.938581996,40.4847864004,-79.9489440001,40.4775730001,-79.9255319996,40.4891709998,52306.0
15000US420030802002,-79.9522412715,40.4617199849,-79.9544539997,40.4597900002,-79.9498660003,40.4636110001,37879.0
15000US420031414004,-79.9169684434,40.4189203764,-79.9271509996,40.4107569999,-79.905766,40.428018,41213.0
15000US420032023004,-80.0356727063,40.4127768368,-80.0427379997,40.4069200002,-80.0298830004,40.4174490001,50577.0
15000US420032708003,-80.0297229621,40.4865869495,-80.0354469998,40.4813679997,-80.0250479996,40.4910999998,75898.0
15000US420035629002,-79.9471041778,40.392282554,-79.9709610001,40.3739410001,-79.9255070002,40.4103459999,23438.0
15000US420032620003,-79.9965004817,40.4698701748,-80.0049970003,40.4624139998,-79.9866820002,40.4745940003,26146.0
15000US420035626001,-80.0326319389,40.4369278881,-80.0388429999,40.4300759996,-80.0262959996,40.4445370001,36136.0
15000US420035624002,-80.0039842251,40.4142537733,-80.011445,40.4111069999,-79.9970430004,40.4195170001,23482.0
15000US420035629001,-79.9486917595,40.4113043968,-79.9602960002,40.3966450003,-79.9353970004,40.4294169998,14750.0
15000US420035619002,-79.8924783856,40.467032147,-79.8989759998,40.4616790001,-79.8877350004,40.473067,26875.0
15000US420035632003,-79.9976554054,40.4572570289,-80.0026209996,40.4548809996,-79.9913040002,40.4612229997,22976.0
15000US420030201006,-79.9970174081,40.4450780346,-80.0014369998,40.4424389996,-79.9904009999,40.448182,75625.0
15000US420039818001,-79.8972167005,40.4801719965,-79.9082749997,40.4740199999,-79.8837720002,40.4867260004,
15000US420035625001,-80.0522578554,40.4606712398,-80.0754370003,40.4526160003,-80.0375679996,40.465676,37813.0
15000US420039800001,-79.8924057302,40.4882544329,-79.9016800004,40.483948,-79.8844839997,40.4926140003,106477.0
15000US420035620002,-79.9531574603,40.4552764711,-79.9572200004,40.4509760002,-79.9496880002,40.4603029996,18006.0
15000US420031516002,-79.9459954257,40.4267884609,-79.9522879996,40.4229629998,-79.9390450004,40.430103,38036.0
15000US420035623006,-79.9425942181,40.4097577369,-79.9450260001,40.4078679998,-79.9400429997,40.4118980004,12831.0
15000US420035623004,-79.9419511266,40.4063841323,-79.9444240003,40.4037699997,-79.9393570004,40.4085760001,17955.0
15000US420039810001,-79.9488648259,40.4731011133,-79.9580459998,40.4654660003,-79.9345710001,40.4786450001,
15000US420031106002,-79.9162653796,40.4752841293,-79.9197389996,40.4721920002,-79.9131089996,40.4788440003,104861.0
15000US420031204001,-79.9087836452,40.463374744,-79.9123010001,40.4610560001,-79.9056170003,40.4662369998,17005.0
15000US420035616004,-79.9736036301,40.4149245466,-79.977962,40.4124580001,-79.9705429997,40.4176019999,49500.0
15000US420035620003,-79.9558044787,40.4481873852,-79.9599840002,40.4441049999,-79.9518459999,40.4514879996,45655.0
15000US420035629003,-79.9441162037,40.4176307476,-79.9522879996,40.4112409998,-79.9338300001,40.4256650003,46094.0
15000US420030902003,-79.9570742418,40.4664652862,-79.95926,40.4651819997,-79.9543510003,40.4682209996,42321.0
15000US420031011003,-79.9477735704,40.481810773,-79.9513110004,40.4774030003,-79.94317,40.4854619997,43958.0
15000US420031406003,-79.8953703927,40.4430458866,-79.8978330002,40.4396610001,-79.8932249999,40.4471330002,49762.0
15000US420030103004,-79.97728665,40.4373468297,-79.9814639997,40.4360340001,-79.9726430003,40.4383859997,43750.0
15000US420030409003,-79.9518013107,40.4308074306,-79.9545709997,40.427393,-79.9496579997,40.4344299998,25156.0
15000US420035623005,-79.9369120109,40.4142957132,-79.9432989996,40.4094220004,-79.9322930002,40.419788,18365.0
15000US420030201005,-79.9966027759,40.4379661028,-80.0023220002,40.4329000003,-79.9904909996,40.445199,
15000US420030603001,-79.9609469372,40.4621220971,-79.968074,40.4594370001,-79.9527819999,40.4651819997,34737.0
15000US420031608001,-79.9707669686,40.4229738781,-79.9727220003,40.4207500003,-79.9683409997,40.4248800001,37895.0
15000US420032904003,-79.9867635455,40.384418967,-79.9935490003,40.3815700003,-79.9810919996,40.3882269997,46118.0
15000US420039811001,-79.906325562,40.4420377395,-79.9130830002,40.4380100004,-79.8987429999,40.4469780002,
15000US420031916004,-80.0244240251,40.4137886924,-80.0259679997,40.4105389998,-80.0228400003,40.4171879997,26822.0
15000US420035626002,-80.0409699021,40.4400200303,-80.0474310002,40.4357109996,-80.0351559998,40.4449700003,27181.0
15000US420039807001,-80.011769883,40.4376351934,-80.0284999996,40.4291469999,-79.9965720003,40.4461990003,
15000US420035627001,-80.0144011187,40.4507823521,-80.0194290003,40.4482509996,-80.0087299998,40.4539659996,44167.0
15000US420032615002,-80.0193107234,40.4698627269,-80.0258279996,40.4629720004,-80.0127000003,40.4774440004,40139.0
15000US420030709003,-79.9431400713,40.4489269357,-79.9476909998,40.4471429997,-79.9388379999,40.4513159997,2596.0
15000US420039806001,-80.0280105526,40.4519851259,-80.0373369997,40.4431950002,-80.0162900004,40.4620619998,
15000US420035616001,-79.9615214246,40.4168800162,-79.965676,40.4131860004,-79.9579800004,40.4207799999,11607.0
15000US420031401003,-79.9435820995,40.4427301057,-79.9492440004,40.4404440002,-79.9376039996,40.4446469998,
15000US420031517003,-79.9385272273,40.422513141,-79.9398410003,40.4189520001,-79.9363280001,40.4262579998,85469.0
15000US420031517004,-79.9353992933,40.4216327115,-79.9380100004,40.4191159996,-79.933107,40.4243540001,75536.0
15000US420031609002,-79.9619336175,40.4225176405,-79.9766069996,40.4105460001,-79.952317,40.4286349997,49359.0
15000US420031702001,-79.9916710695,40.4299677531,-79.9989680002,40.426477,-79.9819129997,40.4329000003,47560.0
15000US420031702003,-79.9852075909,40.4272714848,-79.9885730001,40.4254769998,-79.9820469996,40.4288380001,30096.0
15000US420031706001,-79.9875967009,40.4248945766,-79.9992679996,40.4218459996,-79.9801310002,40.4295250003,41625.0
15000US420031706002,-79.9803391286,40.4235170733,-79.9856349996,40.4206730004,-79.9749620002,40.4256810002,41750.0
15000US420031807003,-80.0010209061,40.4228313636,-80.0050209996,40.4214409998,-79.9973979997,40.4239310004,33500.0
15000US420031903001,-80.0137487965,40.4347477322,-80.0191730002,40.4301159997,-80.0027100001,40.4397359999,70208.0
15000US420031916002,-80.0172241447,40.413828669,-80.0231710002,40.4102109999,-80.0092060002,40.4170800001,41600.0
15000US420031916005,-80.0279441212,40.4122302295,-80.0319500004,40.4071160002,-80.0246259999,40.4173209996,59909.0
15000US420031917001,-80.0109351032,40.4043318099,-80.0184839999,40.3926500004,-80.0016099997,40.4128680002,45673.0
15000US420031917002,-80.0172468188,40.3996624507,-80.0211729998,40.3974109996,-80.0124739998,40.4012159997,70833.0
15000US420031917003,-80.0186571333,40.4029550129,-80.0238140002,40.4000099999,-80.0150299998,40.4064190004,38056.0
